"Now Shopping by","تسوق الآن من"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","وهذا ينطبق فقط على كتالوج المنتجات والفئات. سيتم إدراج المحتوى الإعلامي المحرر كعنوان ثابت. لا يتم تحديث محتوى الوسائط في حالة تغير عناوين URL للنظام الأساسي."
"Top Level Category","التصنيف الاعلى درجة"
"Product Info Column","عمود معلومات المنتج"
"Block after Info Column","كتلة بعد عمود المعلومات"
"Product Flat Data","البيانات المسطحة للمنتجات"
"Reorganize EAV product structure to flat structure","إعادة تنظيم هيكل المنتجات EAV إلى بنية مسطحة"
"Category Flat Data","بيانات مسطحة للفئات"
"Reorganize EAV category structure to flat structure","إعادة تنظيم هيكل الفئات EAV لفئة هيكل مسطح"
"Category Products","قسم المنتجات"
"Indexed category/products association","رابطة فهرسة الفئة/المنتجات"
"Product Categories","فئات المنتج"
"Indexed product/categories association","رابطة فهرسة المنتج/الفئات"
"Product Price","سعر المنتج"
"Index product prices","مؤشر أسعار المنتج"
"Product EAV","EAV للمنتج"
"Index product EAV","EAV فهرس المنتج"
"Catalog New Products List","قائمة المنتجات الجديدة في كتالوج"
"List of Products that are set as New","قائمة بالمنتجات التي تم تعيينها كالجديدة"
"Display Type","نوع العرض"
"All products - recently added products, New products - products marked as new","جميع المنتجات-منتجات أضيفت مؤخرا ، والمنتجات الجديدة-المنتجات التي تم وضع علامة جديدة"
"All products","جميع المنتجات"
"New products","المنتجات الجديدة"
"Display Page Control","عرض عنصر التحكم في الصفحة"
"Number of Products per Page","عدد المنتجات في الصفحة"
"Number of Products to Display","عدد من المنتجات للعرض"
"New Products Grid Template","المنتجات الجديدة قالب الشبكة"
"New Products List Template","المنتجات الجديدة قالب القائمة"
"New Products Images and Names Template","قالب أسماء وصور منتجات جديدة"
"New Products Names Only Template","قالب أسماء المنتجات الجديدة فقط"
"New Products Images Only Template","قالب لصور المنتجات الجديدة فقط"
"Cache Lifetime (Seconds)","عمر ذاكرة التخزين المؤقت (بالثواني)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","الافتراضي 86400، إن لم يعيين. للتحديث الفوري، قم بمسح ذاكرة التخزين المؤقت لـ HTML."
"Catalog Product Link","رابط كتالوج المنتج"
"Link to a Specified Product","إرتباط بمنتج محدد"
"If empty, we'll use the product name here.","إذا كان فارغاً، سوف نستخدم اسم المنتج هنا."
"Product Link Block Template","كتلة قالب رابط المنتج"
"Product Link Inline Template","قالب منسق لرابط المنتج"
"Catalog Category Link","رابط كتالوج الفئة"
"Link to a Specified Category","ارتبط إلى فئة محددة"
"Select Category...","اختر قسم..."
"If empty, we'll use the category name here.","إذا كان فارغاً، سوف نستخدم اسم الفئة هنا."
"Category Link Block Template","فئة الرابط كتلة القالب"
"Category Link Inline Template","رابط قالب الفئة مضمن"
"List of Products Recently Viewed by Visitor","قائمة بالمنتجات التي استعرضها الزائر مؤخرا"
"UI Component","عنصر واجهة المستخدم"
"Number of Products to display","عدد المنتجات للعرض"
"Product attributes to show","سمات المنتج التي ستظهر"
Image,صورة
"Learn More Link","رابط للمزيد"
"Buttons to show","الأزرار التي ستظهر"
"Add to Wishlist","إضافة إلى قائمة الأمنيات"
"Viewed Products Grid Template","قالب الشبكة للمنتجات المستعرضة"
"Viewed Products List Template","قالب قائمة المنتجات المستعرضة"
"Viewed Products Sidebar Template","قالب الشريط الجانبي للمنتجات المستعرضة"
"List of Products Recently Compared by Visitor","قائمة المنتجات التى تمت مقارنتها مؤخرا من قبل الزوار"
"Compared Products Grid Template","نموذج لشبكة مقارنة المنتجات"
"Compared Products List Template","نموذج لقائمة مقارنة المنتجات"
Set,ضبط
"Category Information","معلومات الفئة"
"Display Mode","طريقة العرض"
"Available Product Listing Sort By","فرز قائمة المنتجات المتاحة حسب"
"Default Product Listing Sort By","فرز قائمة المنتج الإفتراضي حسب"
"Products in Category","المنتجات في القسم"
Theme,الثيم
"Schedule Design Update","جدولة تحديث التصميم"
"Product Image Watermarks","صورة المنتج ماءيه"
Base,قاعدة
"Allowed file types: jpeg, gif, png.","أنواع الملفات المسموحة: jpeg, gif, png."
"Image Opacity","درجة شفافية الصورة"
"Example format: 200x300.","شكل على سبيل المثال: 200 × 300."
"Image Position","موضع الصورة"
"Attribute Label","علامة السمة"
Values,القيم
"Add this attribute to the list of column options in the product grid.","أضف هذه السمة إلى قائمة خيارات العمود في شبكة المنتج."
"Add this attribute to the list of filter options in the product grid.","أضف هذه السمة إلى قائمة خيارات التصفية في شبكة المنتج."
"Delete selected items?","هل تريد حذف العناصر المحددة؟"
"Change status","تغيير الحالة"
"Update attributes","تحديث السمات"
Overview,"نظره عامة"
"Skip to the end of the images gallery","انتقل إلى النهاية معرض الصور"
"Skip to the beginning of the images gallery","تخطي إلى بداية معرض الصور"
Details,التفاصيل
"Recently Compared","تمت مقارنتها مؤخرا"
"Add To Cart","أضف لسلة التسوق"
"Add To Compare","إضافة إلى المقارنة"
"Learn more","إعرف المزيد"
"Save Category","حفظ الفئة"
"Delete Category","حذف التصنيف"
"New Subcategory","تصنيف فرعي جديد"
"New Root Category","تصنيف رئيسي جديد"
"Set Root Category for Store","تكوين تصنيف جذري للمتجر"
"Custom Design","تصميم مخصص"
"Category Data","بيانات التصنيف"
"Declare attribute value saving scope","إعلان قيمة السمة لتوفير النطاق"
"Depends on design theme","يعتمد على التصميم المظهر"
"We saved the price alert subscription.","لقد تم حفظ إشتراكك لتنبيه الأسعار."
"We saved the stock notification.","لقد تم حفظ مخزن الإشعارات."
"There was a category move error. %1","كان هناك خطأ في نقل الفئة %1"
"You moved the category","لقد قمت بنقل القسم"
"This product no longer exists.","هذا المنتج لم يعد موجوداً."
"We can't find the image file.","لا يمكن العثور على الصورة."
"Could not save product option","تعذر حفظ خيار المنتج"
"Product option with id %1 does not exist","خيار المنتج مع %1 غير موجود"
"Are you sure you want to delete this category?","هل أنت متأكد أنك تريد حذف هذه الفئة؟"
"Set root category for this store in the <a href=""%1"">configuration</a>.","تعيين الفئة الجذر لهذا المخزن في <a href=""%1"">configuration</a>."
"Manage Options (values of your attribute)","إدارة خيارات (قيم السمة الخاصة بك)"
"An attribute group named ""/name/"" already exists"".","مجموعة سمة المسماة \"/name/\" already exists\"موجودة من قبل."
"Close panel","إغلاق اللوحة"
"Watermark Default Size","الحجم الافتراضي للعلامة المائية"
"Watermark Opacity, Percent","العلامة المائية غير شفافة, بنسبة"
Watermark,"علامة مائية"
"Watermark Position","مكان العلامة المائية"
none,"لا شيء"
text,نص
"Tier Price","السعر الأساسي"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","إذا كان لدى موقع الويب الخاص بك من ماجنتو طرق عرض متعددة، فإنه يمكنك تعيين طريقة عرض محددة."
"This value does not follow the specified format (for example, 200X300).","هذه القيمة لا تتبع التنسيق المحدد (على سبيل المثال، 200 × 300)."
Advanced,متقدم
"Move to Archive","نقل إلى الأرشيف"
"Move to Order Management","الانتقال إلى إدارة الطلب"
"We have archived the order.","تم أرشفة الطلب."
"Please specify the order ID to be archived.","الرجاء تحديد معرف الطلب للأرشفة."
"We archived %1 order(s).","تم ارشفة %1 طلب/طلبات."
"We can't archive the selected order(s).","لا يمكن أرشفة الطلب المحدد."
"We have removed the order from the archive.","لقد قمنا بإزالة الطلب من الأرشيف."
Archive,الارشيف
"Mass Add","إضافة كتلة"
"Missing key ""model"" in Wishlist Item value data","مفتاح ""model"" مفقود في بيانات بند قائمة المشاهده"
"Missing key ""model"" in Wishlist value data","مفتاح ""model"" مفقود في بيانات قائمة المشاهده"
"Filterable (with results)","يمكن تصفيتها (مع النتائج)"
"Filterable (no results)","ترشيح (لا توجد نتائج)."
"Use in Layered Navigation","استخدم في طبقات الملاحة"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","يمكن استخدامه فقط مع نوع الحق القائمة المنسدلة، واختيار المتعدد والسعر"
"Can be used only with catalog input type Dropdown, Multiple Select and Price.","يمكن استخدامها فقط مع نوع الإدخال كتالوج القائمة المنسدلة، حدد متعددة والأسعار."
"Use in Search Results Layered Navigation","استخدام نتائج البحث في الطبقات التنقل"
"Position in Layered Navigation","وضع في الملاحة الطبقات"
"Position of attribute in layered navigation block.","مكان السمة في قسم التنقل في الطبقات."
"Position of attribute in layered navigation block","موقف السمة عرقلة الملاحة في الطبقات"
Partners,الشركاء
"Platinum Partners","شركاء البلاتين"
"Representing Magento's highest level of partner engagement, Magento Platinum Partners have established themselves as leaders and innovators of key products and services designed to help merchants and brands grow their business. Magento reserves the Platinum level for select trusted partners that are committed to offering integrations of commerce features, functions, and tools, as well as back-end systems and operations, to extend and enhance the power of the Magento commerce platform.","تمثل أعلى مستوى في ماجنتو لمشاركة الشريك، أقام ""شركاء الماجنتو البلاتين "" أنفسهم كقادة ومبتكرين من المنتجات الأساسية والخدمات المصممة لمساعدة التجار والعلامات التجارية لتنمو أعمالهم. وتحتفظ ماجنتو بمستوى البلاتين لتحديد الشركاء الموثوق بهم و التي ملتزمة بتوفير التكامل للتجارة والمميزات والوظائف، والأدوات، فضلا عن الأنظمة الخلفية والعمليات، والتوسع وتعزيز قوة منصة التجارة ماجنتو."
"Featured Platinum Partners","الشركاء البلاتين الموصى بها"
"Partner search","البحث عن شريك"
"Magento has a thriving ecosystem of technology partners to help merchants and brands deliver the best possible customer experiences. They are recognized as experts in eCommerce, search, email marketing, payments, tax, fraud, optimization and analytics, fulfillment, and more. Visit the Magento Partner Directory to see all of our trusted partners.","الماجنتو لديها نظام إيكولوجي مزدهرة للشركاء في مجال التكنولوجيا لمساعدة التجار والماركات لتسليم العميل أفضل الخبرات الممكنة. ماجنتو تعتبر من خبراء التجارة الإلكترونية، والبحث والتسويق عبر البريد الإلكتروني، المدفوعات، الضرائب، الاحتيال، التحسين والتحليلات، وفاء، وأكثر. قم بزيارة ""دليل شريك ماجنتو"" لرؤية جميع شركائنا الموثوق بها."
"More Partners","المزيد من الشركاء"
"Visit Magento Marketplaces","زيارة Magento Marketplaces"
"Read More","اقرأ المزيد"
"Partner Page","صفحة الشريك"
"Find Partners & Extensions","العثور على شركاء & ملحقات"
"This rule is assigned to %1 automated reminder rule(s). Deleting this rule will automatically unassign it.","This rule is assigned to %1 automated reminder rule(s). Deleting this rule will automatically unassign it.
"
"Automated Email Marketing Reminder Rules","قواعد تذكير التسويق البريد الإلكتروني الآلي"
"Add New Rule","إضافة قاعدة جديدة"
"Are you sure you want to match this rule now?","هل أنت متأكد من أنك تريد مطابقة هذه القاعدة الآن؟"
"No more than %1 customers may receive the reminder email after this action.","لا مزيد من %1 العملاء قد تتلقى البريد الإلكتروني للتذكير بعد هذا الإجراء."
"Run Now","شغل الآن"
"Edit Rule '%1'","حرر قاعدة '%1'"
"New Rule","قاعدة جديدة"
"Email Reminder Rule","قاعدة تذكر البريد الإلكتروني"
"Matched At","مطابقة في"
"Thread Active","مؤشرات الترابط النشطة"
Coupon,"قسيمة الخصم"
"Coupon Use Limit","حد استخدام قسيمة الخصم"
"Coupon Use Per Customer","استخدام قسيمة الخصم لكل العملاء"
"Last Sent","آخر إرسال"
"Rule Name","أسم القاعدة"
"Assigned to Website","ادراج تحت موقع"
"Rule Information","بيانات القاعدة"
"Emails and Labels","رسائل البريد الإلكتروني وعناوين"
"We can't delete the reminder rule right now.","لا يمكن حذف قاعدة التذكيرالآن."
"Reminder Rules","تذكير بالقواعد"
"Email Reminders","تذكير بالبريد الإلكتروني"
"New Reminder Rule","قاعدة جديدة لتذكير"
"Edit Rule","تعديل قاعدة"
Hourly,"كل ساعة"
Daily,يوميا
"5 minutes","5 دقائق"
"10 minutes","10 دقائق"
"15 minutes","15 دقيقة"
"20 minutes","20 دقيقة"
"30 minutes","30 دقيقة"
for,لـ
"for greater than","لأكبر من"
"Total Amount","مجموع الكمية"
subtotal,الإجمالي
"grand total","المجموع الكلي"
weight,وزن
quantity,الكمية
"Coupon Code","رمز قسيمة الخصم"
"Shopping cart %1 a coupon applied","سلة التسوق %1 تم تطبيق قسيمة الخصم"
"does not have","ليس به"
found,وجدت
"not found","غير موجود"
"Items Quantity","كمية السلع"
"Number of Items","عدد السلع"
Sharing,المشاركة
is,هو
"is not",غير
"Unable to save Cron expression","خطأ فى حفظ العملية"
Frequency,التردد
Rule,قاعدة
LocalizedException,"إستثناء المحليات"
"Make Check payable to:","تقديم شيك مستحق الدفع لـ:"
"Send Check to:","ارسل الشيك الى:"
"Purchase Order Number","رقم طلب الشراء"
"Make Check payable to: %1","اجعل الشيك مدفوعا الى: %1"
"Purchase Order Number: %1","رقم الطلب: %1"
"Make Check payable to","اجعل الشيك مدفوعا الى"
"Send Check to","ارسل الشيك الى"
"Check / Money Order","شيك / طلب المال"
"Make Check Payable to","تقديم شيك مستحق الدفع لـ"
"Purchase Order","طلب الشراء"
Instructions,التعليمات
"Cash On Delivery Payment","الدفع عند الاستلام"
"Zero Subtotal Checkout","الإجمالي صفر"
Feed,المستجدات
"Miscellaneous Feeds","تغذية متنوعة"
"Get Feed","تحصل على ملف الخلاصات"
"RSS Feeds Section","قسم تغذيات RSS"
"RSS Feeds","ملقمات الخلاصات"
"Rss Config","اعدادات الخلاصات"
"Enable RSS","تفعيل خدمة الخلاصات"
"Google Analytics Enhanced Ecommerce Settings","جوجل تحليلات المحسن إعدادات التجارة الإلكترونية"
"Send to Google","إرسال إلى جوجل"
Creative,مبدع
"Universal Analytics","التحليلات العالمية"
"Google Tag Manager","مدير Google Tag"
"Google Analytics","تحليلات غوغل"
"Account type","نوع الحساب"
"Container Id","رقم الحاوية"
"Allow Anonymous Guest Access","السماح بوصول الضيف المجهول"
"You saved the alert subscription.","لقد تم حفظ إشتراكك لتنبيه الأسعار."
"There are not enough parameters.","لا توجد معلمات كافية."
"We can't update the alert subscription right now.","لا يمكن أن نقوم بتحديث تنبيه الإشتراك الآن."
"Alert subscription has been saved.","لقد تم حفظ التنبيه الاشتراك."
"You deleted the alert subscription.","لقد تم إلغاء إشتراكك في الإشعارات."
"We can't find the product.","لا يمكن العثور على المنتج."
"You will no longer receive price alerts for this product.","لن تتسلم تنبيهات تغيير السعر لهذا المنتج مجدداً."
"Unable to update the alert subscription.","غير قادر على تحديث اشتراك التنبيهات."
"You will no longer receive stock alerts for this product.","لن تتسلم تنبيهات تغيير السعر لهذا المنتج مجدداً."
"The product was not found.","لم يتم العثور على المنتج."
"Invalid block type: %1","نوع كتلة غير صالح: %1"
"Price change alert! We wanted you to know that prices have changed for these products:","تنبيه بتغيير السعر! اردنا ابلاغك ان الاسعار تغييرت لهذه المنتجات:"
Price:,السعر:
"Click here to stop alerts for this product.","انقر هنا لإيقاف التنبيهات لهذا المنتج."
"Unsubscribe from all price alerts","إلغاء الاشتراك من كل تنبيهات السعر"
"Unsubscribe from all stock alerts","إلغاء الاشتراك من كل تنبيهات المخزون"
"Allow Alert When Product Price Changes","اتاحة تنبيه تغيير السعر"
"Price Alert Email Template","قالب رسالة تنبيه تغيير السعر"
"Alert Email Sender","تنبيه البريد الالكتروني للمرسل"
"Product Alerts Run Settings","إعدادات تنبيهات المنتج"
"Error Email Recipient","خطأ فى مستقبل الرسالة"
"Error Email Sender","خطأ فى ارسال الرسالة"
"Error Email Template","خطأ فى قالب الرسالة"
"Sign up for price alert","الاشتراك في تنبيه السعر"
"Sign up to be notified when this product is back in stock.","إشترك لتلقي تنبيه عندما يتوفر هذا المنتج بالمفخزون مرة أخرى."
"Please specify a website.","الرجاء تحديد الموقع على شبكة الإنترنت."
"Please specify an email.","الرجاء تحديد بريد الكتروني."
"We found an invalid value in a website column.","نحن العثور على قيمة غير صحيحة في عمود موقع."
"Please enter a valid email.","الرجاء إدخال عنوان بريد الكتروني صحيح."
"Please make sure attribute ""%s"" is not empty.","الرجاء التأكد من السمة ""%s"" ليس فارغاً."
"We can't find a customer who matches this email and website code.","لا يمكننا أن نجد عميل يطابق هذا البريد الإلكتروني، والموقع على شبكة الإنترنت."
"Customer address id column is not specified","لم يتم تحديد عمود معرف عنوان العميل"
"We can't find that customer address.","لا يمكن أن نجد عنوان هذا العميل."
"Please enter a valid region.","الرجاء إدخال منطقة صالحة."
"We can't find that email and website combination.","لا يمكننا أن نجد مجموعة البريد الإلكتروني والموقع على شبكة الإنترنت."
"Please enter a password with a valid length.","الرجاء إدخال كلمة مرور بطول صحيح."
"RPC call failed, connection timed out after %time_out.","فشل استدعاء RPC، مهلة الاتصال بعد %time_out."
"Error while checking if topic is synchronous","حدث خطأ أثناء التحقق من إذا كان الموضوع متزامن"
"Save & Generate","حفظ & إنتاج"
"Edit Sitemap","تعديل خريطة الموقع"
"New Sitemap","خريطة موقع جديدة"
"Sitemap Information","معلومات خريطة الموقع"
Sitemap,"خريطة الموقع"
Filename,"اسم الملف"
"example: sitemap.xml","مثال: sitemap.xml"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","مثال: ""خريطة الموقع/"" أو ""/"" للمسار الأساسي (يجب أن يكون المسار قابل للكتابة)"
Generate,توليد
"Add Sitemap","أضف خريطة للموقع"
"You deleted the sitemap.","لقد حذفت ملف خريطة الموقع."
"We can't find a sitemap to delete.","لا يمكن أن نجد خريطة موقع لحذفها."
"This sitemap no longer exists.","خريطة الموقع لم تعد موجودة."
"Site Map","خريطة الموقع"
"New Site Map","خريطة موقع جديد"
"We can't generate the sitemap right now.","لا يمكن إنشاء ملف خريطة الموقع الآن."
"We can't find a sitemap to generate.","لا يمكن أن نجد خريطة موقع للتوليد."
Always,دائماً
Weekly,إسبوعياً
Monthly,شهريا
Yearly,سنوياً
"Categories Options","خيارات التصنيفات"
Priority,أولوية
"Products Options","خصائص المنتج"
"CMS Pages Options","خيارات ادارة المحتوى"
"Generation Settings","خصائص الانشاء"
"Link for Google","رابط لجوجل"
"Product View Optimization","تحسين طريقة عرض المنتج"
"Page View Optimization","تحسين طريقة عرض الصفحة"
"Data key is missing: %1","مفتاح البيانات مفقود: %1"
"Google Analytics Content Experiments Code","كود Google Analytics Content Experiments"
"Experiment Code","رمز التجربة"
"Experiment code should be added to the original page only.","يجب إضافة رمز التجربة إلى الصفحة الأصلية فقط."
"Enable Content Experiments","تفعيل Content Experiments"
"Category View Optimization","تحسين طريقة عرض القسم"
"Tax Rate Information","معلومات معدل الضريبة"
"Tax Identifier","معرف الضريبة"
"Zip/Post is Range","الرمز البريدي"
"Zip/Post Code","الرمز البريدي"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","'*'-يطابق أي؛ 'xyz *'-يطابق أي التي تبدأ في 'xyz'، وهي ليست أطول من %1."
"Range From","الحدود من"
"Range To","الحدود إلى"
State,ولاية
"Tax Titles","عناوين الضرائب"
"Add New Tax Rate","إضافة معدل ضريبة جديد"
"Delete Rate","حذف معدل"
"Are you sure you want to do this?","هل أنت متأكد أنك تريد فعل ذلك؟"
"Save Rate","حفظ معدل"
"Manage Tax Rules","إدارة قواعد الضريبة"
"Add New Tax Rule","إضافة قاعدة ضريبية جديدة"
"Save Rule","احفظ القاعدة"
"Delete Rule","حذف قاعدة"
"Tax Rule Information","معلومات معدل الضريبة"
"Customer Tax Class","شريحة العميل الضريبية"
"Product Tax Class","شريحة المنتج الضريبية"
"Tax Rate","معدل الضريبة"
"Subtotal (Excl.Tax)","الإجمالي (غير شامل الضريبة)"
"Subtotal (Incl.Tax)","الإجمالي (شامل الضريبة)"
"Shipping & Handling (Excl.Tax)","الشحن و التوصيل (غير شامل الضريبة)"
"Shipping & Handling (Incl.Tax)","الشحن و التوصيل (شامل الضريبة)"
"Grand Total (Excl.Tax)","المجموع الكلي (غير شامل الضريبة)"
"Grand Total (Incl.Tax)","المجموع الكلي (شامل الضريبة)"
"Manage Tax Rates","إدارة معدلات الضريبة"
"New Tax Rate","معدل ضريبة جديد"
"We can't delete this tax rate right now.","لا يمكن حذف معدل الضريبة هذه الآن."
"We can't delete this rate because of an incorrect rate ID.","لا يمكننا حذف هذا المعدل بسبب ان معدل المعرف غير صحيح."
"Edit Tax Rate","تعديل معدل الضريبة"
"Tax Rules","قواعد الضريبة"
"This rule no longer exists.","هذة القاعدة لم تعد موجودة."
"We can't save this tax rule right now.","لا يمكن حفظ هذه القاعدة الضريبية الآن."
"We can't delete this tax class right now.","لا يمكن حذف فئة هذه الضريبة الآن."
"We can't save this tax class right now.","لا يمكن حفظ فئة هذه الضريبة الآن."
"Custom price if available","الأسعار المخصصة إذا كان متوفراً"
"Original price only","السعر الأصلي فقط"
"No (price without tax)","لا ( سعر بدون ضريبة)."
"Yes (only price with tax)","نعم (السعر فقط مع الضريبه)"
"Both (without and with tax)","كلا من (بدون و مع الضريبة)"
"Grand Total (Excl. Tax)","المجموع الكلي (غير شامل الضريبة)"
"Grand Total (Incl. Tax)","المجموع الكلي (شامل الضريبة)"
"Shipping (Excl. Tax)","الشحن غير شامل الضريبة (%1)"
"Shipping (Incl. Tax)","الشحن شامل الضريبة (%1)"
"Click here to go to <a href=""%1"">Tax Configuration</a> and change your settings.","اضغط هنا للانتقال إلى <a href=""%1"">ضبط الضرائب</a> وتغيير الإعدادات الخاصة بك."
"Excl. tax:","غير شامل الضريبة:"
"Add New Class","إضافة شريحة جديدة"
"Not yet calculated","لم يتم حسابها"
"Shipping Prices","أسعار الشحن"
"Default Country","البلد الافتراضي"
"Display Shipping Prices","عرض أسعار الشحن"
"Display Shipping Amount","عرض أسعار الشحن"
State/Region,ولاية/منطقة
Rate,تقييم
"Subtotal Only","الإجمالي فقط"
"(Excl. Tax)","(غير شامل الضريبة)"
"(Incl. Tax)","(شامل الضريبة)"
"Order Total Excl. Tax","المجموع الكلي غير شامل الضريبة"
"Order Total Incl. Tax","المجموع شامل الضريبة"
"Your credit card will be charged for","سيتم الدفع ببطاقة الائتمان الخاصة بك لـ"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations.","تطبيق الضريبة ""قبل الخصم"" ، الخصم النهائي قد لا يتطابق مع توقعات العملاء."
"Percent Discount","نسبة الخصم"
"-- Select --","-- اختر --"
"Create New Option","إنشاء خيار جديد"
"Add Products to Option","إضافة المنتجات إلى الخيار"
"What are you looking for?","ما الذي تبحث عنه؟"
"There is no defined renderer for ""%1"" option type.","لا يوجد أي عارض محدد لنوع الخيار ""%1""."
"Only implemented for bundle product","تنفذ فقط لحزمة المنتج"
"Product with specified sku: ""%1"" is not a bundle product","المنتج مع رمز المنتج المحدد: ""%1"" ليس حزمة منتج"
"Bundle product could not contain another composite product","حزمة المنتج لا يمكن أن تحتوي على منتج مركب آخر"
"Id field of product link is required","حقل معرف ارتباط المنتج مطلوب"
"Can not find product link with id ""%1""","لا يمكن العثور على معرف ارتباط المنتج ""%1"""
"Could not save child: ""%1""","تعذر حفظ الطفل: ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","المنتج مع رمز المنتج المحدد: ""%1"" لا يحتوي على خيار: ""%2"""
"Child with specified sku: ""%1"" already assigned to product: ""%2""","رمز المنتج للفرع: ""%1"" تم تعيينه بالفعل للمنتج: ""%2"""
"Product with specified sku: %1 is not a bundle product","المنتج مع رمز المنتج المحدد: ""%1"" ليس حزمة منتج"
"Requested bundle option product doesn't exist","خيار الحزمة للمنتج المطلوب غير موجود"
"Requested option doesn't exist","الخيار المطلوب غير موجود"
"Cannot delete option with id %1","لا يمكن حذف الخيار مع معرف %1"
"Could not save option","تعذر حفظ الخيار"
"Price Range","النطاق السعري"
"As Low as","منخفضة كـ"
Together,معا
Separately,"كل على حدة"
"Please specify product option(s).","يرجى تحديد خيار(ات) المنتج."
"The options you selected are not available.","لا تتوفر الخيارات التي قمت بتحديدها."
"The required options you selected are not available.","لا تتوفر الخيارات المطلوبة التي قمت بتحديدها."
"Please select all required options.","الرجاء تحديد جميع الخيارات المطلوبة."
"Default Title","العنوان الافتراضي"
"Store View Title","عنوان طريقة عرض المتجر"
Drop-down,"القائمة المنسدلة"
"Radio Buttons","أزرار الراديو"
Checkbox,"صندوق الإختيار"
"Default Quantity","الكمية الافتراضية"
"User Defined","المعرفة من قبل المستخدم"
"Choose a selection...","اختيار تحديد..."
"Ship Bundle Items","اشحن مجموعة العناصر"
"There are no products in this option.","لا توجد أية منتجات في هذا الخيار."
"Buy %1 with %2 discount each","شراء %1 مع %2 الخصم"
"Go back to product details","العودة إلى تفاصيل المنتج"
"Customize and Add to Cart","تخصيص وإضافة إلى سلة التسوق"
"Your Customization","التخصيص الخاص بك"
"Customize %1","تخصيص %1"
"No options of this product are available.","لا توجد خيارات متوفرة لهذا المنتج."
"Add Products to New Option","إضافة المنتجات إلى خيار جديد"
"Add Products to Option ""%1""","إضافة المنتجات إلى الخيار ""%1"""
Unlimited,"غير محدود"
"All Payment Methods","جميع طرق الدفع"
"Specific Payment Methods","طرق الدفع المحددة"
"B2B Payment Methods","طرق الدفع الB2B"
"All Enabled Payment Methods","جميع طرق الدفع المفعله"
" (disabled)"," (معطل)"
"Available Payment Methods","طرق الدفع المتوفرة"
"This company has no payment methods. Please contact store administrator.","هذه الشركة لاتملك وسائل دفع. الرجاء التواصل بمسؤول المتجر."
"Default B2B Payment Methods","طرق الدفع الB2B الإفتراضية"
"Applicable Payment Methods","طرق الدفع المطبقة"
"By default, the selected payment methods are available for all new companies. If your Magento site has multiple websites, on a specific website the buyer will be able to pay with the methods available for that website only.","بشكل افتراضي ، تتوفر طرق الدفع المحددة لجميع الشركات الجديدة. إذا كان موقع Magento الخاص بك يحتوي على مواقع ويب متعددة ، فسيتمكن المشتري من موقع ويب محدد من الدفع بالطرق المتاحة لذلك الموقع فقط."
"Payment Information (View)","معلومات الدفع (عرض)"
"Use config settings","استخدام إعدادات التكوين"
"Delete Role","حذف الدور"
"Save Role","حفظ الدور"
Roles,ادوار
"Add New Role","اضف دور جديد"
"Role Information","معلومات الدور"
"Role Users","مستخدمين الدور"
"User Name","اسم المستخدم"
"Role Resources","مصادر الدور"
"Role Info","معلومات الدور"
"Role Name","اسم الدور"
"Add New User","اضف مستخدم جديد"
Users,مستخدمين
"Save User","حفظ المستخدم"
"Delete User","حذف المستخدم"
"Are you sure you want to revoke the user's tokens?","هل أنت متأكد من أنك تريد إلغاء الرموز المميزة للعميل؟"
"Force Sign-In","تسجيل الدخول فوري"
"Edit User '%1'","تعديل المستخدم '%1'"
"New User","مستخدم جديد"
"User Email","البريد الإلكتروني للمستخدم"
"New Password","كلمة المرور الجديدة"
"Password Confirmation","تأكيد كلمة المرور"
"Interface Locale","لغة الواجهة"
"This account is","هذا الحساب هو"
"Account Status","حالة الحساب"
"User Roles Information","معلومات ادوار المستخدمين"
"User Information","معلومات المستخدم"
"User Info","معلومات المستخدم"
"User Role","دور المستخدم"
"Please correct the password reset token.","الرجاء تصحيح كلمة المرور إعادة تعيين الرمز."
"Please specify the correct account and try again.","الرجاء تحديد الحساب الصحيح وحاول مرة أخرى."
"Your password reset link has expired.","انتهت مدة صلاحية رابط إعادة تعيين كلمة المرور الخاصة بك."
"We're unable to send the password reset email.","نحن غير قادرين على إرسال إعادة تعيين كلمة المرور البريد الإلكتروني."
"We'll email you a link to reset your password.","سوف نرسل لك رابط لإعادة تعيين كلمة المرور الخاصة بك."
"Please correct this email address:","الرجاء تصحيح عنوان البريد الإلكتروني هذا:"
"Please enter an email address.","الرجاء ادخال عنوان البريد الالكتروني."
"You updated your password.","تم تغيير كلمة المرور."
"Locked Users","المستخدمين الموقوفين"
"Unlocked %1 user(s).","%1 مستخدم غير موقوف."
Permissions,تصريحات
"You cannot delete your own account.","لا يمكنك حذف الحساب الخاص بك."
"You deleted the user.","قمت بحذف المستخدم."
"We can't find a user to delete.","لا يمكن أن نجد مستخدم للحذف."
"This user no longer exists.","هذا المستخدم لم يعد موجوداً."
